x,y,t,v,l,c
23.297542761449595,60.95298692283151,1445,5,0.0,45
23.283112513739514,60.957617707397816,1446,5,0.0,45
23.268682266029437,60.96224849196412,1447,5,0.0,45
23.254252018319356,60.96687927653042,1448,5,0.0,45
23.239821770609275,60.97151006109672,1449,5,0.0,45
23.225391522899194,60.976140845663025,1450,5,0.0,45
23.210961275189113,60.98077163022933,1451,5,0.0,45
23.196531027479033,60.98540241479563,1452,5,0.0,45
23.182100779768952,60.99003319936193,1453,5,0.0,45
23.16767053205887,60.994663983928234,1454,5,0.0,45
23.15324028434879,60.999294768494536,1455,5,0.0,45
23.13881003663871,61.00392555306084,1456,5,0.0,45
23.12437978892863,61.00855633762715,1457,5,0.0,45
23.109949541218548,61.01318712219345,1458,5,0.0,45
23.095519293508467,61.01781790675975,1459,5,0.0,45
23.08108904579839,61.022448691326055,1460,5,0.0,45
23.06665879808831,61.02707947589236,1461,5,0.0,45
23.052228550378228,61.03171026045866,1462,5,0.0,45
23.037798302668147,61.03634104502496,1463,5,0.0,45
23.023368054958066,61.040971829591264,1464,5,0.0,45
23.008937807247985,61.045602614157566,1465,5,0.0,45
22.994507559537904,61.05023339872387,1466,5,0.0,45
22.980077311827824,61.05486418329017,1467,5,0.0,45
22.965647064117743,61.05949496785647,1468,5,0.0,45
22.951216816407662,61.064125752422775,1469,5,0.0,45
22.944980544355623,61.066127023152845,1470,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1471,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1472,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1473,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1474,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1475,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1476,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1477,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1478,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1479,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1480,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1481,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1482,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1483,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1484,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1485,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1486,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1487,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1488,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1489,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1490,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1491,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1492,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1493,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1494,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1495,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1496,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1497,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1498,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1499,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1500,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1501,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1502,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1503,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1504,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1505,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1506,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1507,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1508,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1509,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1510,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1511,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1512,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1513,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1514,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1515,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1516,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1517,5,38.880857923876874,45
22.944980544355623,61.066127023152845,1518,5,38.880857923876874,45
22.952614485632154,61.06314935717065,1519,5,38.880857923876874,45
22.96372687942595,61.05881489928293,1520,5,38.880857923876874,45
22.97483927321974,61.05448044139521,1521,5,38.880857923876874,45
22.985951667013534,61.050145983507484,1522,5,38.880857923876874,45
22.997064060807325,61.04581152561976,1523,5,38.880857923876874,45
23.00817645460112,61.04147706773204,1524,5,38.880857923876874,45
23.019288848394915,61.03714260984431,1525,5,38.880857923876874,45
23.030401242188706,61.03280815195659,1526,5,38.880857923876874,45
23.0415136359825,61.028473694068865,1527,5,38.880857923876874,45
23.05262602977629,61.02413923618114,1528,5,38.880857923876874,45
23.063738423570086,61.01980477829342,1529,5,38.880857923876874,45
23.074850817363878,61.0154703204057,1530,5,38.880857923876874,45
23.085963211157672,61.01113586251797,1531,5,38.880857923876874,45
23.097075604951463,61.006801404630245,1532,5,38.880857923876874,45
23.108187998745258,61.00246694674252,1533,5,38.880857923876874,45
23.11930039253905,60.9981324888548,1534,5,38.880857923876874,45
23.130412786332844,60.99379803096708,1535,5,38.880857923876874,45
23.14152518012664,60.989463573079355,1536,5,38.880857923876874,45
23.15263757392043,60.985129115191626,1537,5,38.880857923876874,45
23.16263159333212,60.981230886144594,1538,5,45.0,45
